adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/eNI7PtK6DEYgZmHWP9gQNuff8pv.jpg,The Matrix Collection,190000000,"Science Fiction , Action , Adventure",https://www.whatisthematrix.com,624860,tt10838180,en,The Matrix Resurrections,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",213.259,/8c4a8kE7PizaGQQnditMmI1xbRp.jpg,"Village Roadshow Pictures , Warner Bros. Pictures , Venus Castina Productions",United States of America,2021-12-16,156497322,148,English,Released,Return to the source.,The Matrix Resurrections,False,6.592,4262
False,/l4QHerTSbMI7qgvasqxP36pqjN6.jpg,The Matrix Collection,63000000,"Action , Science Fiction",http://www.warnerbros.com/matrix,603,tt0133093,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",77.938,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,"Village Roadshow Pictures , Warner Bros. Pictures , Groucho II Film Partnership , Silver Pictures",United States of America,1999-03-30,463517383,136,English,Released,Welcome to the Real World.,The Matrix,False,8.193,22288
False,/pxK1iK6anS6erGg4QePmMKbB1E7.jpg,The Matrix Collection,150000000,"Adventure , Action , Thriller , Science Fiction",,604,tt0234215,en,The Matrix Reloaded,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",40.939,/9TGHDvWrqKBzwDxDodHYXEmOE6J.jpg,"Village Roadshow Pictures , NPV Entertainment , Silver Pictures",United States of America,2003-05-15,738599701,138,English,Released,Free your mind.,The Matrix Reloaded,False,7.025,9385
False,/533xAMhhVyjTy8hwMUFEt5TuDfR.jpg,The Matrix Collection,150000000,"Adventure , Action , Thriller , Science Fiction",,605,tt0242653,en,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,37.752,/fgm8OZ7o4G1G1I9EeGcb85Noe6L.jpg,"Village Roadshow Pictures , NPV Entertainment , Silver Pictures",United States of America,2003-11-05,424988211,129,"English , Français",Released,Everything that has a beginning has an end.,The Matrix Revolutions,False,6.699,8432
False,/xLDSKsyAGFFCNYDmNynEOsms5jp.jpg,,50000000,"Family , Fantasy , Adventure",,13764,tt0089961,en,Santa Claus: The Movie,"The first half of this film, set hundreds of years ago, shows how the man who eventually became Santa Claus was given immortality and chosen to deliver toys to all the children of the world. The second half moves into the modern era, in which Patch, the head elf, strikes out on his own and falls in with an evil toy manufacturer who wants to corner the market and eliminate Santa Claus.",11.49,/9yrlEzsdT1kzeg8Tf6wHK9brjAF.jpg,"TriStar Pictures , Calash Corporation , GGG , Santa Claus Ltd.",United States of America,1985-10-29,23717291,108,English,Released,Guess who's coming to town!,Santa Claus: The Movie,False,6.264,203
False,/jRtMuANI62nS0oOEcKyewhizFFr.jpg,,200000,"Comedy , Fantasy , Science Fiction",,32307,tt0058548,en,Santa Claus Conquers the Martians,"Martians fear their children have become lazy and joyless due to their newfound obsession with Earth TV shows. After ancient Martian leader Chochem suggests that the children of Mars need more fun—including their own Santa Claus—supreme leader Lord Kimar assembles an expedition to Earth. Once there, they kidnap two children who lead them to the North Pole, then capture the real Santa Claus, taking all three back to Mars in an attempt to bring the Martian children happiness.",5.89,/f8lxrcMx98AuvlLSb2hPkz0CuH0.jpg,Embassy Pictures Corporation,United States of America,1964-11-14,0,81,English,Released,,Santa Claus Conquers the Martians,False,3.045,101
False,/jArl1j9sL2mYjRW23EaZKWAr2E8.jpg,,25300000,"History , Drama , Thriller",,399121,tt2398149,fr,J'accuse,"In 1894, French Captain Alfred Dreyfus is wrongfully convicted of treason and sentenced to life imprisonment at the Devil's Island penal colony.",10.51,/kqlzmKVBpGz7OMWfOXlK4y1m9Uz.jpg,"Gaumont , Canal+ , R.P. Productions , France 3 Cinéma , Les Films Alain Sarde , RAI , France 2 , 01 Distribution , ToMmY K. PICTURES , Èliseo Entertainment","France , Italy",2019-09-30,18878646,132,Français,Released,,An Officer and a Spy,False,7.089,1277
False,/bR0GpnGUCN7uxRmXtnJr9s19Jrb.jpg,Cinderella Story Collection,5000000,"Comedy , Music",http://anothercinderellastory.warnerbros.com/,15157,tt1071358,en,Another Cinderella Story,"A guy who danced with what could be the girl of his dreams at a costume ball only has one hint at her identity: the Zune she left behind as she rushed home in order to make her curfew. And with a once-in-a-lifetime opportunity in front of him, he sets out to find his masked beauty.",29.564,/Acw0Syw7s8QFTCkdJgtGR2Eg0SB.jpg,"Warner Premiere , CS2 Films , Dylan Sellers Productions","Canada , United States of America",2008-09-16,0,90,English,Released,Once upon a time....can happen again.,Another Cinderella Story,False,6.802,1574
False,/puJKgNcWaGgMk5VHanSSomUTpmw.jpg,Cinderella Collection,2900000,"Family , Fantasy , Animation , Romance",http://movies.disney.com/cinderella-1950,11224,tt0042332,en,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",127.474,/4nssBcQUBadCTBjrAkX46mVEKts.jpg,Walt Disney Productions,United States of America,1950-02-22,263591415,74,English,Released,The greatest love story ever told.,Cinderella,False,7.035,5837
False,/q7vmCCmyiHnuKGMzHZlr0fD44b9.jpg,,95000000,"Romance , Fantasy , Family , Drama",http://movies.disney.com/cinderella,150689,tt1661199,en,Cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",95.868,/ryKwNlAfDXu0do6SX9h4G9Si1kG.jpg,"Walt Disney Pictures , Genre Films , Beagle Pug Films , Allison Shearmur Productions","United Kingdom , United States of America",2015-03-12,543514353,105,English,Released,Midnight is just the beginning.,Cinderella,False,6.802,6374
